TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
a_a001885,3,-0.16807807644275144,13,0,-0.2225220843466252,4.333333333333333
a_a010961,3,0.09453223919845148,12,0,0.05510726776490216,4.0
a_a011502,2,-0.19947713592159094,13,0,-0.09276053933797652,6.5
a_a002986,2,-0.28225647454762226,5,0,-0.22403093952114436,2.5
a_a006311,2,-0.4820686712311463,4,0,-0.5408905261701702,2.0
a_a004024,3,-0.19091375606372563,8,0,-0.24666376713893193,2.6666666666666665
a_a002897,2,-0.4392517719418197,3,0,-0.4729920433168075,1.5
a_a006355,2,-0.4278339321313326,3,0,-0.4548857812225775,1.5
a_a001160,3,0.9508702249849827,12,0,0.9604203724764047,4.0
a_a001268,3,-0.29367431435810937,15,0,-0.3553013397043122,5.0
a_a002003,2,-0.38216257288938427,9,1,-0.3824607328456573,4.5
a_a009397,4,0.19729279749283524,7,1,-0.02259877372283509,1.75
a_a007244,2,-0.5077588108047422,3,0,-0.5816296158821878,1.5
c_c002786,3,-0.2908198544054876,6,0,-0.3522836293552739,2.0
a_a000497,2,-0.2794020145950005,13,0,-0.21950437399758685,6.5
a_a001505,3,0.14591251834564337,6,0,0.1094260540475923,2.0
a_a001495,4,0.18872941763496992,11,0,-0.029388622008171356,2.75
a_a010289,3,0.5626636714284219,11,0,0.5500117650071902,3.6666666666666665
a_a014703,2,-0.23373065535305218,2,1,-0.14707932562066667,1.0
a_a001256,3,-0.05960859824312415,6,0,-0.1078490910831682,2.0
a_a010065,2,-0.47065083142065917,4,0,-0.5227842640759401,2.0
a_a003335,3,0.1230768387246692,10,0,0.08528437125528565,3.3333333333333335
a_a003108,4,0.1801660377771046,15,0,-0.036178470293507625,3.75
a_a006489,2,-0.2223128155425651,5,0,-0.12897306352643662,2.5
a_a003563,5,2.2011236842333184,23,0,1.1366546568602438,4.6
a_a002271,4,-0.20518605582683447,14,0,-0.3417216431336397,3.5
a_a003411,2,-0.5077588108047422,3,0,-0.5816296158821878,1.5
a_a008457,3,-0.42212501222608906,9,0,-0.49109830541103755,3.0
a_a007638,2,-0.33363675369481416,4,0,-0.30550911894517957,2.0
a_a002111,3,0.23440077687691827,12,0,0.20297507486778096,4.0
a_a007634,2,-0.3193644539317053,4,0,-0.282876291327392,2.0
a_a007716,2,-0.45352407170492853,3,0,-0.49562487093459506,1.5
e_e000004,2,-0.5077588108047422,5,0,-0.5816296158821878,2.5
e_e000006,3,-0.3422001335526795,11,0,-0.40660241563796407,3.6666666666666665
e_e000009,3,0.4028139140816027,12,0,0.38101998546104304,4.0
e_e000010,3,0.6939688292490234,15,0,0.688826441062954,5.0
